Date;F5 Crypto Index
2018-08-15;1000
2018-08-16;1014.33027
2018-08-17;1193.699555
2018-08-18;1093.46699
2018-08-19;1134.109418
2018-08-20;1038.393481
2018-08-21;1061.836482
2018-08-22;997.5070794
2018-08-23;1040.461587
2018-08-24;1057.229272
2018-08-25;1066.26963
2018-08-26;1065.119134
2018-08-27;1179.250943
2018-08-28;1260.03467
2018-08-29;1206.720303
2018-08-30;1190.337474
2018-08-31;1217.005095
2018-09-01;1299.680845
2018-09-02;1273.657024
2018-09-03;1271.840463
2018-09-04;1294.000441
2018-09-05;1072.214357
2018-09-06;1099.420251
2018-09-07;1075.017101
2018-09-08;1018.837211
2018-09-09;1035.230348
2018-09-10;1034.553183
2018-09-11;992.176812
2018-09-12;986.7127032
2018-09-13;1034.71723
2018-09-14;1030.950473
2018-09-15;1044.615832
2018-09-16;1044.204986
2018-09-17;975.1133065
2018-09-18;1028.090497
2018-09-19;1035.540607
2018-09-20;1161.695891
2018-09-21;1303.238735
2018-09-22;1270.955974
2018-09-23;1293.378872
2018-09-24;1193.945686
2018-09-25;1191.694812
2018-09-26;1176.207487
2018-09-27;1254.428608
2018-09-28;1237.847648
2018-09-29;1265.33519
2018-09-30;1266.86254
2018-10-01;1261.003136
2018-10-02;1219.749635
2018-10-03;1208.35805
2018-10-04;1218.40458
2018-10-05;1231.485352
2018-10-06;1202.587144
2018-10-07;1221.086674
2018-10-08;1252.925255
2018-10-09;1236.819484
2018-10-10;1214.751786
2018-10-11;1025.045802
2018-10-12;1065.433785
2018-10-13;1076.534299
2018-10-14;1057.427332
2018-10-15;1120.491404
2018-10-16;1127.408592
2018-10-17;1138.732923
2018-10-18;1123.438263
2018-10-19;1116.60992
2018-10-20;1125.945545
2018-10-21;1122.015994
2018-10-22;1119.24076
2018-10-23;1123.091616
2018-10-24;1125.817371
2018-10-25;1123.849002
2018-10-26;1119.103136
2018-10-27;1110.372357
2018-10-28;1122.41525
2018-10-29;1066.048557
2018-10-30;1072.03931
2018-10-31;1079.693636
2018-11-01;1091.296343
2018-11-02;1112.542623
2018-11-03;1106.150716
2018-11-04;1143.181153
2018-11-05;1161.096886
2018-11-06;1227.515629
2018-11-07;1199.80557
2018-11-08;1159.679103
2018-11-09;1153.816796
2018-11-10;1162.917261
2018-11-11;1162.323966
2018-11-12;1176.141522
2018-11-13;1146.999467
2018-11-14;1028.091028
2018-11-15;1016.029752
2018-11-16;978.6972258
2018-11-17;985.4807817
2018-11-18;1002.748252
2018-11-19;853.4675944
2018-11-20;775.727801
2018-11-21;810.7791218
2018-11-22;757.4087671
2018-11-23;750.8380289
2018-11-24;678.44363
2018-11-25;684.212912
2018-11-26;650.5309745
2018-11-27;654.944369
2018-11-28;734.2619876
2018-11-29;720.9624332
2018-11-30;683.3936913
2018-12-01;713.1021707
2018-12-02;696.8839848
2018-12-03;648.9224245
2018-12-04;654.2656266
2018-12-05;612.4963782
2018-12-06;550.2643849
2018-12-07;541.4526309
2018-12-08;548.3735335
2018-12-09;568.020301
2018-12-10;549.6826525
2018-12-11;537.4039727
2018-12-12;548.4440422
2018-12-13;539.9575548
2018-12-14;513.6233395
2018-12-15;515.530427
2018-12-16;524.694881
2018-12-17;595.7484676
2018-12-18;633.4371382
2018-12-19;636.1908752
2018-12-20;708.9101582
2018-12-21;700.0364675
2018-12-22;721.2989407
2018-12-23;749.6262201
2018-12-24;777.0575407
2018-12-25;723.3499161
2018-12-26;731.7712844
2018-12-27;659.0128426
