;BGCI;;Bitwise 10;;HODL5;;NCI
02/01/2018;1503,59;01/01/2018;22633,49;01/01/2018;5939,4;29/01/2021;1870,94
03/01/2018;1653,48;02/01/2018;25390,14;02/01/2018;6542;01/02/2021;1836,71
04/01/2018;1638,93;03/01/2018;26670,96;03/01/2018;7250,12;02/02/2021;1960,8
05/01/2018;1650,2;04/01/2018;26525,44;04/01/2018;7646,91;03/02/2021;2096,71
08/01/2018;1667,36;05/01/2018;27615,65;05/01/2018;7517,1;04/02/2021;2045,21
09/01/2018;1636,62;08/01/2018;26660,2;06/01/2018;7909,14;05/02/2021;2141,41
10/01/2018;1651,62;09/01/2018;26203,41;07/01/2018;7924,03;08/02/2021;2489,1
11/01/2018;1518,63;10/01/2018;26545,07;08/01/2018;7397,32;09/02/2021;2503,98
12/01/2018;1619,33;11/01/2018;24111,29;09/01/2018;7420,93;10/02/2021;2427,6
16/01/2018;1157,04;12/01/2018;25574,71;10/01/2018;7173,77;11/02/2021;2573,87
17/01/2018;1237,49;15/01/2018;24608,17;11/01/2018;7017,19;12/02/2021;2573,59
18/01/2018;1290,4;16/01/2018;20015,95;12/01/2018;6872,68;15/02/2021;2583,83
19/01/2018;1284,96;17/01/2018;19782,95;13/01/2018;7227,97;16/02/2021;2629,31
22/01/2018;1173,34;18/01/2018;20375,14;14/01/2018;6746,1;17/02/2021;2780,7
23/01/2018;1204,22;19/01/2018;20684,16;15/01/2018;6939,39;18/02/2021;2778,49
24/01/2018;1246,39;22/01/2018;19155,94;16/01/2018;5654,65;19/02/2021;2969,55
25/01/2018;1238,77;23/01/2018;19105,46;17/01/2018;4686,62;22/02/2021;2831,65
26/01/2018;1200,41;24/01/2018;20020,29;18/01/2018;5753,51;23/02/2021;2541,62
29/01/2018;1279,84;25/01/2018;19620,89;19/01/2018;5680,66;24/02/2021;2594,36
30/01/2018;1145,68;26/01/2018;19372,78;20/01/2018;6129,55;25/02/2021;2421,52
31/01/2018;1163,59;29/01/2018;20133,7;21/01/2018;5367,99;26/02/2021;2396,77
01/02/2018;1047,52;30/01/2018;18014,08;22/01/2018;4948,41;01/03/2021;2604,42
02/02/2018;960,39;31/01/2018;18422,28;23/01/2018;5417,34;02/03/2021;2500,8
05/02/2018;773,93;01/02/2018;16334,58;24/01/2018;5263,65;03/03/2021;2613,02
06/02/2018;848,42;02/02/2018;15473,95;25/01/2018;5187,86;04/03/2021;2517,04
07/02/2018;871,08;05/02/2018;11930,5;26/01/2018;5215,4;05/03/2021;2530,14
08/02/2018;896,64;06/02/2018;13419,31;27/01/2018;5378,13;08/03/2021;2762,03
09/02/2018;962,57;07/02/2018;13009,9;28/01/2018;5600,84;09/03/2021;2883,26
12/02/2018;1002,62;08/02/2018;14334,81;29/01/2018;5492,03;10/03/2021;2907,3
13/02/2018;969,17;09/02/2018;15428,91;30/01/2018;5089,87;11/03/2021;2986,75
14/02/2018;1070,57;12/02/2018;15697,15;31/01/2018;4902,71;12/03/2021;2947,95
15/02/2018;1090,51;13/02/2018;15121,24;01/02/2018;4421,28;15/03/2021;2891,03
16/02/2018;1123,08;14/02/2018;16954,05;02/02/2018;4319,89;16/03/2021;2940,77
20/02/2018;1161,61;15/02/2018;17426,09;03/02/2018;4429,18;17/03/2021;3035,79
21/02/2018;1032,13;16/02/2018;17770,61;04/02/2018;3984,04;18/03/2021;2966,3
22/02/2018;989,34;19/02/2018;18553,16;05/02/2018;3355,18;19/03/2021;2996,07
23/02/2018;1010,03;20/02/2018;18015,84;06/02/2018;3304,49;22/03/2021;2792,88
26/02/2018;1045,88;21/02/2018;16862,85;07/02/2018;3687,37;23/03/2021;2801,2
27/02/2018;1067,58;22/02/2018;15880,44;08/02/2018;3790,23;24/03/2021;2688,17
28/02/2018;1038,86;23/02/2018;16568,58;09/02/2018;3993,69;25/03/2021;2645,85
01/03/2018;1065,66;26/02/2018;16769,99;10/02/2018;4018,42;26/03/2021;2832,83
02/03/2018;1057,04;27/02/2018;17005,42;11/02/2018;4053,31;29/03/2021;2973,38
05/03/2018;1086,74;28/02/2018;16485,99;12/02/2018;4190,75;30/03/2021;3027,02
06/03/2018;1030,88;01/03/2018;17243,96;13/02/2018;4094,89;31/03/2021;3049,66
07/03/2018;944,99;02/03/2018;17203,39;14/02/2018;4472,85;01/04/2021;3066,27
08/03/2018;887,89;05/03/2018;17574,89;15/02/2018;4720,46;02/04/2021;3128,83
09/03/2018;872,34;06/03/2018;16618,01;16/02/2018;4751,32;05/04/2021;3126,97
12/03/2018;865,01;07/03/2018;15422,8;17/02/2018;5004,32;06/04/2021;3094,53
13/03/2018;858,6;08/03/2018;14435,29;18/02/2018;4825,87;07/04/2021;2955,98
14/03/2018;780,99;09/03/2018;14622,24;19/02/2018;4962,77;08/04/2021;3082,46
15/03/2018;769,58;12/03/2018;14195,28;20/02/2018;5040,58;09/04/2021;3076,35
16/03/2018;791,4;13/03/2018;14164,42;21/02/2018;4490;12/04/2021;3179,26
19/03/2018;753,23;14/03/2018;12646,63;22/02/2018;4259,07;13/04/2021;3387,31
20/03/2018;793,21;15/03/2018;12655,52;23/02/2018;4392,39;14/04/2021;3411,66
21/03/2018;786,9;16/03/2018;12625,12;24/02/2018;4290,73;15/04/2021;3456,08
22/03/2018;754,16;19/03/2018;12865,36;25/02/2018;4194,65;16/04/2021;3373,59
23/03/2018;751,7;20/03/2018;13189,41;26/02/2018;4446,55;19/04/2021;3049,19
26/03/2018;680,69;21/03/2018;13144,25;27/02/2018;4549,11;20/04/2021;3115,05
27/03/2018;677,94;22/03/2018;12809,98;28/02/2018;4449,42;21/04/2021;3055,08
28/03/2018;665,01;23/03/2018;13003,64;01/03/2018;4557,09;22/04/2021;2936,23
29/03/2018;586,79;26/03/2018;11771,98;02/03/2018;4527,63;23/04/2021;2829,45
02/04/2018;570,13;27/03/2018;11189,23;03/03/2018;4672,29;26/04/2021;3042,53
03/04/2018;619,2;28/03/2018;11311,91;04/03/2018;4610,75;27/04/2021;3135,7
04/04/2018;568,75;29/03/2018;9977,68;05/03/2018;4802,11;28/04/2021;3141,06
05/04/2018;566,24;30/03/2018;9812,55;06/03/2018;4519,23;29/04/2021;3082,19
06/04/2018;547,22;02/04/2018;9936,9;07/03/2018;4086,49;30/04/2021;3250,79
09/04/2018;562,16;03/04/2018;10605,18;08/03/2018;3934,63;03/05/2021;3417,13
10/04/2018;580,72;04/04/2018;9641,02;09/03/2018;3683,15;04/05/2021;3286,41
11/04/2018;597,29;05/04/2018;9666,5;10/03/2018;3958,71;05/05/2021;3510,41
12/04/2018;671,76;06/04/2018;9362;11/03/2018;3867,86;06/05/2021;3476,98
13/04/2018;701,74;09/04/2018;9699,66;12/03/2018;3821,06;07/05/2021;3482,18
16/04/2018;707,99;10/04/2018;9838,22;13/03/2018;3825,16;10/05/2021;3581,18
