Date;Last Price;;;
3/2/21;1901,02;;;
3/1/21;1898,61;;;
2/26/21;1825,2;;;
2/25/21;1962,92;;;
2/24/21;1949,57;;;
2/23/21;1894,93;;;
2/22/21;2195,99;;;
2/19/21;2371,62;;;
2/18/21;2279,46;;;
2/17/21;2235,34;;;
2/16/21;2103,31;;;
2/12/21;2083,58;;;
2/11/21;2018,72;;;
2/10/21;1919,18;;;
2/9/21;1996,96;;;
2/8/21;1889,03;;;
2/5/21;1750,62;;;
2/4/21;1710,51;;;
2/3/21;1703,79;;;
2/2/21;1616,69;;;
2/1/21;1476,95;;;
1/29/21;1497,2;;;
1/28/21;1457,22;;;
1/27/21;1399,31;;;
1/26/21;1454,29;;;
1/25/21;1486,3;;;
1/22/21;1439,27;;;
1/21/21;1386,97;;;
1/20/21;1515,03;;;
1/19/21;1599,43;;;
1/15/21;1414,37;;;
1/14/21;1528,38;;;
1/13/21;1414,71;;;
1/12/21;1354,97;;;
1/11/21;1294,72;;;
1/8/21;1484,25;;;
1/7/21;1560,18;;;
1/6/21;1472,13;;;
1/5/21;1368,3;;;
1/4/21;1281,61;;;
12/31/20;1051,1;;;
12/30/20;1047,46;;;
12/29/20;1008,64;;;
12/28/20;1022,95;;;
12/24/20;875,87;;;
12/23/20;875,01;;;
12/22/20;933,52;;;
12/21/20;926,14;;;
12/18/20;962,55;;;
12/17/20;954,11;;;
12/16/20;890,72;;;
12/15/20;837,32;;;
12/14/20;829,68;;;
12/11/20;801,14;;;
12/10/20;820,58;;;
12/9/20;826,59;;;
12/8/20;826,93;;;
12/7/20;852,96;;;
12/4/20;845,97;;;
12/3/20;880,82;;;
12/2/20;866,46;;;
12/1/20;864,53;;;
11/30/20;887,3;;;
11/27/20;760,96;;;
11/25/20;862,55;;;
11/24/20;902,8;;;
11/23/20;841,62;;;
11/20/20;730,41;;;
11/19/20;695,41;;;
11/18/20;681,55;;;
11/17/20;690,75;;;
11/16/20;662,52;;;
11/13/20;650,1;;;
11/12/20;636,18;;;
11/11/20;633,79;;;
11/10/20;618,38;;;
11/9/20;617,48;;;
11/6/20;618,31;;;
11/5/20;591;;;
11/4/20;562,29;;;
11/3/20;547,19;;;
11/2/20;548,9;;;
10/30/20;546,34;;;
10/29/20;551,49;;;
10/28/20;544,52;;;
10/27/20;565,43;;;
10/26/20;545,11;;;
10/23/20;554,2;;;
10/22/20;563,97;;;
10/21/20;538,94;;;
10/20/20;506,23;;;
10/19/20;510,5;;;
10/16/20;494,33;;;
10/15/20;510,46;;;
10/14/20;503,87;;;
10/13/20;507,81;;;
10/12/20;515,58;;;
10/9/20;491,49;;;
10/8/20;481,58;;;
10/7/20;470;;;
10/6/20;467,39;;;
10/5/20;476,51;;;
10/2/20;463,65;;;
10/1/20;471,38;;;
9/30/20;476,66;;;
9/29/20;478,52;;;
9/28/20;484,91;;;
9/25/20;477,3;;;
9/24/20;467,61;;;
9/23/20;449,58;;;
9/22/20;463,08;;;
9/21/20;463,6;;;
9/18/20;495,1;;;
9/17/20;505,09;;;
9/16/20;489,09;;;
9/15/20;485,8;;;
9/14/20;489,05;;;
9/11/20;479,3;;;
9/10/20;475,58;;;
9/9/20;471,52;;;
9/8/20;453,12;;;
9/4/20;500,21;;;
9/3/20;511,73;;;
9/2/20;545,71;;;
9/1/20;587,66;;;
8/31/20;558,82;;;
8/28/20;528,59;;;
8/27/20;510,73;;;
8/26/20;528,63;;;
8/25/20;520,37;;;
8/24/20;548,88;;;
8/21/20;544,16;;;
8/20/20;558,61;;;
8/19/20;541,56;;;
8/18/20;576,95;;;
8/17/20;597,06;;;
8/14/20;572,61;;;
8/13/20;531,59;;;
8/12/20;530,64;;;
8/11/20;524,14;;;
8/10/20;549,37;;;
8/7/20;531,25;;;
8/6/20;558,07;;;
8/5/20;550,12;;;
8/4/20;535,68;;;
8/3/20;551,07;;;
7/31/20;502,5;;;
7/30/20;491,15;;;
7/29/20;482,2;;;
7/28/20;473,56;;;
7/27/20;462,37;;;
7/24/20;411,23;;;
7/23/20;408,58;;;
7/22/20;387,59;;;
7/21/20;386,22;;;
7/20/20;375,1;;;
7/17/20;373,64;;;
7/16/20;371,37;;;
7/15/20;378,43;;;
7/14/20;383,36;;;
7/13/20;379,26;;;
7/10/20;383,44;;;
7/9/20;382,93;;;
7/8/20;393,4;;;
7/7/20;374,52;;;
7/6/20;378,07;;;
7/2/20;357,44;;;
7/1/20;365,64;;;
6/30/20;360,26;;;
6/29/20;362,38;;;
6/26/20;369,44;;;
6/25/20;372,07;;;
6/24/20;372,37;;;
6/23/20;387,2;;;
6/22/20;385,68;;;
6/19/20;371,48;;;
6/18/20;375,8;;;
6/17/20;373,91;;;
6/16/20;379,34;;;
6/15/20;377,68;;;
6/12/20;381,97;;;
6/11/20;372,88;;;
6/10/20;401,51;;;
6/9/20;395,17;;;
6/8/20;395,33;;;
6/5/20;397,92;;;
6/4/20;396,21;;;
6/3/20;392,48;;;
6/2/20;387,49;;;
6/1/20;391,35;;;
5/29/20;374,02;;;
5/28/20;372,39;;;
5/27/20;362,78;;;
5/26/20;351,71;;;
5/22/20;364,18;;;
5/21/20;353,52;;;
5/20/20;371,46;;;
5/19/20;376,18;;;
5/18/20;378,01;;;
5/15/20;359,29;;;
5/14/20;371,56;;;
5/13/20;360,56;;;
5/12/20;348;;;
5/11/20;343,05;;;
5/8/20;390,75;;;
5/7/20;389,86;;;
5/6/20;373,29;;;
5/5/20;369,33;;;
5/4/20;369,17;;;
5/1/20;370,53;;;
4/30/20;373,41;;;
4/29/20;381,34;;;
4/28/20;345,54;;;
4/27/20;338,82;;;
4/24/20;333,72;;;
4/23/20;334,19;;;
4/22/20;319,5;;;
4/21/20;306,62;;;
4/20/20;301,74;;;
4/17/20;313,71;;;
4/16/20;312,11;;;
4/15/20;295,92;;;
4/14/20;301,4;;;
4/13/20;296,88;;;
4/9/20;321,22;;;
4/8/20;326,04;;;
4/7/20;317,16;;;
4/6/20;317,25;;;
4/3/20;287,36;;;
4/2/20;283,87;;;
4/1/20;265,12;;;
3/31/20;274,86;;;
3/30/20;271,39;;;
3/27/20;280,48;;;
3/26/20;274,68;;;
3/25/20;271,41;;;
3/24/20;278,82;;;
3/23/20;264,25;;;
3/20/20;256,83;;;
3/19/20;266,69;;;
3/18/20;231,4;;;
3/17/20;233,11;;;
3/16/20;217,82;;;
3/13/20;241,61;;;
3/12/20;257,88;;;
3/11/20;346,73;;;
3/10/20;357,58;;;
3/9/20;349,91;;;
3/6/20;422,25;;;
3/5/20;416,53;;;
3/4/20;397,55;;;
3/3/20;400,25;;;
3/2/20;412,88;;;
2/28/20;398,44;;;
2/27/20;411,96;;;
2/26/20;404,72;;;
2/25/20;438,81;;;
2/24/20;458,16;;;
2/21/20;463,29;;;
2/20/20;452,1;;;
2/19/20;486,5;;;
2/18/20;501,86;;;
2/14/20;525,32;;;
2/13/20;503,4;;;
2/12/20;509,08;;;
2/11/20;473,88;;;
2/10/20;450,89;;;
2/7/20;444,79;;;
2/6/20;442,91;;;
2/5/20;432,66;;;
2/4/20;403,47;;;
2/3/20;404,01;;;
1/31/20;391,36;;;
1/30/20;402,94;;;
1/29/20;387,26;;;
1/28/20;378,67;;;
1/27/20;375,62;;;
1/24/20;352,27;;;
1/23/20;349,44;;;
1/22/20;364,71;;;
1/21/20;367,53;;;
1/17/20;374,1;;;
1/16/20;361,5;;;
1/15/20;366,24;;;
1/14/20;359,4;;;
1/13/20;322,1;;;
1/10/20;316,85;;;
1/9/20;301,86;;;
1/8/20;307;;;
1/7/20;318,22;;;
1/6/20;309,73;;;
1/3/20;287,69;;;
1/2/20;272,71;;;
12/31/19;279,03;;;
12/30/19;284,44;;;
12/27/19;277,45;;;
12/26/19;277,62;;;
12/24/19;278,11;;;
12/23/19;281,12;;;
12/20/19;279,09;;;
12/19/19;275,6;;;
12/18/19;279,76;;;
12/17/19;258,68;;;
12/16/19;280,03;;;
12/13/19;301,88;;;
12/12/19;302,22;;;
12/11/19;298,78;;;
12/10/19;300,76;;;
12/9/19;304,78;;;
12/6/19;309,21;;;
12/5/19;308,28;;;
12/4/19;302,82;;;
12/3/19;305,57;;;
12/2/19;306,23;;;
11/29/19;321,7;;;
11/27/19;316,44;;;
11/26/19;303,8;;;
11/25/19;302,14;;;
11/22/19;313,65;;;
11/21/19;326,88;;;
11/20/19;350,17;;;
11/19/19;349,84;;;
11/18/19;356,93;;;
11/15/19;365,46;;;
11/14/19;375,95;;;
11/13/19;382,4;;;
11/12/19;382,76;;;
11/11/19;382,14;;;
11/8/19;381,77;;;
11/7/19;392,74;;;
11/6/19;402,71;;;
11/5/19;403,26;;;
11/4/19;399,53;;;
11/1/19;387,19;;;
10/31/19;389,63;;;
10/30/19;390,61;;;
10/29/19;399,36;;;
10/28/19;391,55;;;
10/25/19;377,15;;;
10/24/19;337,23;;;
10/23/19;330,67;;;
10/22/19;360,14;;;
10/21/19;361,56;;;
10/18/19;356,78;;;
10/17/19;362,22;;;
10/16/19;352,69;;;
10/15/19;362,2;;;
10/14/19;372,79;;;
10/11/19;362,08;;;
10/10/19;374,34;;;
10/9/19;378,47;;;
10/8/19;361,56;;;
10/7/19;365,29;;;
10/4/19;354,36;;;
10/3/19;345,62;;;
10/2/19;352,49;;;
10/1/19;350,08;;;
9/30/19;352,4;;;
9/27/19;337,35;;;
9/26/19;336,24;;;
9/25/19;345,87;;;
9/24/19;344,23;;;
9/23/19;416,64;;;
9/20/19;433,42;;;
9/19/19;444,4;;;
9/18/19;441,98;;;
9/17/19;434,56;;;
9/16/19;406,26;;;
9/13/19;392,88;;;
9/12/19;395,99;;;
9/11/19;389,68;;;
9/10/19;392,36;;;
9/9/19;399,65;;;
9/6/19;382,44;;;
9/5/19;388,38;;;
9/4/19;400,59;;;
9/3/19;402,64;;;
8/30/19;375,85;;;
8/29/19;374,14;;;
8/28/19;377,48;;;
8/27/19;403,87;;;
8/26/19;406,88;;;
8/23/19;416,35;;;
8/22/19;410,18;;;
8/21/19;401,98;;;
8/20/19;420,45;;;
8/19/19;424,58;;;
8/16/19;408,49;;;
8/15/19;402,34;;;
8/14/19;404,89;;;
8/13/19;444,83;;;
8/12/19;456,48;;;
8/9/19;454,28;;;
8/8/19;461,48;;;
8/7/19;473,13;;;
8/6/19;475,14;;;
8/5/19;486,99;;;
8/2/19;449,96;;;
8/1/19;452,09;;;
7/31/19;448,21;;;
7/30/19;435,96;;;
7/29/19;428,57;;;
7/26/19;449,14;;;
7/25/19;441,8;;;
7/24/19;435,9;;;
7/23/19;448,29;;;
7/22/19;446,14;;;
7/19/19;451,61;;;
7/18/19;461,66;;;
7/17/19;432,44;;;
7/16/19;419,42;;;
7/15/19;468,17;;;
7/12/19;521,37;;;
7/11/19;510,39;;;
7/10/19;543,91;;;
7/9/19;578,32;;;
7/8/19;583,52;;;
7/5/19;544,02;;;
7/3/19;555,37;;;
7/2/19;544,91;;;
7/1/19;530,5;;;
6/28/19;591,21;;;
6/27/19;539,14;;;
6/26/19;668,61;;;
6/25/19;595,03;;;
6/24/19;586,74;;;
6/21/19;553,65;;;
6/20/19;526,54;;;
6/19/19;522,08;;;
6/18/19;514,82;;;
6/17/19;529;;;
6/14/19;488,81;;;
6/13/19;490,52;;;
6/12/19;486,04;;;
6/11/19;473,88;;;
6/10/19;473,94;;;
6/7/19;478,66;;;
6/6/19;456,74;;;
6/5/19;465,12;;;
6/4/19;448,22;;;
6/3/19;504,73;;;
5/31/19;504,44;;;
5/30/19;512,05;;;
5/29/19;523,86;;;
5/28/19;519,83;;;
5/24/19;469,06;;;
5/23/19;447,7;;;
5/22/19;463,6;;;
5/21/19;472,46;;;
5/20/19;459,17;;;
5/17/19;426,23;;;
5/16/19;476,17;;;
5/15/19;477,47;;;
5/14/19;432,38;;;
5/13/19;410,01;;;
5/10/19;350,68;;;
5/9/19;337,54;;;
5/8/19;337,12;;;
5/7/19;337,09;;;
5/6/19;339,17;;;
5/3/19;336,22;;;
5/2/19;320,15;;;
5/1/19;319,56;;;
4/30/19;319,05;;;
4/29/19;308,84;;;
4/26/19;309,61;;;
4/25/19;329,21;;;
4/24/19;326,25;;;
4/23/19;344,72;;;
4/22/19;340,52;;;
4/18/19;346,42;;;
4/17/19;339,17;;;
4/16/19;334,56;;;
4/15/19;322,21;;;
4/12/19;330,52;;;
4/11/19;331,94;;;
4/10/19;362,66;;;
